iso,year,GHG_self
CAN,2047,173.95622234958734
CAN,2048,159.33181476472825
CAN,2049,144.70740766014555
CAN,2050,130.08300055556276
CHE,2010,55.736678540340925
CHE,2011,53.341005453840005
CHE,2012,54.264672613225386
CHE,2013,57.10707594908995
CHE,2014,51.94520704068227
CHE,2015,52.07543233624153
CHE,2016,50.457187510255785
CHE,2017,50.895666793270415
CHE,2018,49.24492780975115
CHE,2019,49.78195848913988
CHE,2020,44.4503681143311
CHE,2021,45.45284871131594
CHE,2022,43.950307570129816
CHE,2023,42.447767554126614
CHE,2024,40.945226412940485
CHE,2025,39.44268639693729
CHE,2026,37.6222540765899
CHE,2027,35.80182288142544
CHE,2028,33.98139056107806
CHE,2029,32.1609593659136
CHE,2030,30.34052817074913
CHE,2031,28.825170070926482
CHE,2032,27.309812533695297
CHE,2033,25.794454996464104
CHE,2034,24.279096896641455
CHE,2035,22.763739359410266
CHE,2036,21.24838182217908
CHE,2037,19.733023722356428
CHE,2038,18.217666185125243
CHE,2039,16.702308647894053
CHE,2040,15.186951110662864
CHE,2041,13.671593573431677
CHE,2042,12.156235473609025
CHE,2043,10.640877936377835
CHE,2044,9.125520399146648
CHE,2045,7.61016286191546
CHE,2046,6.094805324684271
CHE,2047,4.579447224861622
CHE,2048,3.0640896876304327
